TimeNow;TimecodeSession;TimecodeTotal;TimecodeRecLength;TimecodeSequence;StartTimeTicks;MarkerColor;REF_MarkerName
5/12/2017 10:15:39 AM;00:00:00;00:00:00;00:00:00;00:00:00;0;242,242,242;camera start
5/12/2017 10:15:51 AM;00:00:11.4470000;00:00:11.4478028;00:00:11.4478028;00:00:11.4478032;114386123;240,240,240;undefined marker
5/12/2017 10:15:51 AM;00:00:11.5640000;00:00:11.5646397;00:00:11.5646397;00:00:11.5646400;115719455;230,230,230;da1
5/12/2017 10:16:12 AM;00:00:32.4460000;00:00:32.4472675;00:00:32.4472675;00:00:32.4472681;324385913;255,255,255;undefined marker
5/12/2017 10:16:12 AM;00:00:32.4810000;00:00:32.4821942;00:00:32.4821942;00:00:32.4821948;324719246;240,240,240;undefined marker
5/12/2017 10:16:12 AM;00:00:32.5790000;00:00:32.5805642;00:00:32.5805642;00:00:32.5805645;325719245;229,229,229;infod1
5/12/2017 10:16:24 AM;00:00:44.7980000;00:00:44.7997937;00:00:44.7997941;00:00:44.7997944;448052456;240,240,240;undefined marker
5/12/2017 10:16:25 AM;00:00:45.4470000;00:00:45.4488265;00:00:45.4488265;00:00:45.4488271;454385783;255,255,255;undefined marker
5/12/2017 10:16:25 AM;00:00:45.4780000;00:00:45.4801770;00:00:45.4801773;00:00:45.4801776;454719116;228,228,228;da2
5/12/2017 10:16:34 AM;00:00:54.9630000;00:00:54.9654662;00:00:54.9654662;00:00:54.9654665;549385688;240,240,240;undefined marker
5/12/2017 10:16:47 AM;00:01:07.7940000;00:01:07.7962821;00:01:07.7962821;00:01:07.7962828;677718893;227,227,227;infod2
5/12/2017 10:16:59 AM;00:01:20.0460000;00:01:20.0487635;00:01:20.0487635;00:01:20.0487638;800385437;240,240,240;undefined marker
5/12/2017 10:17:00 AM;00:01:20.7100000;00:01:20.7129349;00:01:20.7129352;00:01:20.7129355;807052097;226,226,226;da3
5/12/2017 10:17:08 AM;00:01:28.9450000;00:01:28.9480496;00:01:28.9480496;00:01:28.9480502;889385348;255,255,255;undefined marker
5/12/2017 10:17:08 AM;00:01:28.9760000;00:01:28.9790250;00:01:28.9790253;00:01:28.9790256;889718681;240,240,240;undefined marker
5/12/2017 10:17:10 AM;00:01:30.7750000;00:01:30.7789615;00:01:30.7789615;00:01:30.7789618;907718663;225,225,225;infod3
5/12/2017 10:17:22 AM;00:01:43.0270000;00:01:43.0313114;00:01:43.0313114;00:01:43.0313117;1030051874;240,240,240;undefined marker
5/12/2017 10:17:23 AM;00:01:43.7080000;00:01:43.7118805;00:01:43.7118805;00:01:43.7118808;1037051867;224,224,224;da4
5/12/2017 10:17:26 AM;00:01:46.5760000;00:01:46.5805258;00:01:46.5805258;00:01:46.5805261;1065718505;240,240,240;undefined marker
5/12/2017 10:17:33 AM;00:01:54.0240000;00:01:54.0282343;00:01:54.0282346;00:01:54.0282349;1140051764;223,223,223;infod4
